app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_selfpublished,screen_controller_support,screen_gamepass_availability
617670,Zup! S,Quiet River,Quiet River,0.8665,Anchor,0.8543,0.9185,0.7198,14235,0.9712,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,1.99,,False,True,True,False,False,2018,Casual|Indie,2D|Action|Beautiful|Casual|Cute|Difficult|Education|Fast-Paced|Horror|Indie|Logic|Minimalist|Physics|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
774801,Crab Champions,Noisestorm,Noisestorm,0.8556,Anchor,0.9704,0.8469,0.316,23847,0.9798,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,True,True,True,True,2023,Action|Adventure|Casual|Early Access|Indie,3D|Action|Action Roguelike|Arcade|Bullet Hell|Casual|Choices Matter|Co-op|Early Access|Looter Shooter|Memes|Multiplayer|Perma Death|Platformer|PvE,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
285920,TerraTech,Payload Studios,Payload Studios,0.8514,Anchor,0.958,0.8099,0.484,22400,0.9126,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,True,True,True,2018,Action|Indie,Action|Adventure|Building|Crafting|Early Access|Exploration|Indie|Multiplayer|Online Co-Op|Open World|Open World Survival Craft|Physics|PvP|Robots|Sandbox,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
238430,Contagion,"Monochrome, Inc","Monochrome, Inc",0.8514,Anchor,0.8741,0.9951,0.163,15219,0.7277,Mostly Positive,"100,000 .. 200,000",150000.0,9.99,62,True,True,True,True,True,2013,Action|Adventure|Indie,3D|Action|Adventure|Atmospheric|Co-op|Competitive|FPS|First-Person|Horror|Level Editor|Local Co-Op|Local Multiplayer|Moddable|Post-apocalyptic|PvE,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
585420,Trailmakers,Flashbulb,Flashbulb,0.8472,Anchor,0.9728,0.8494,0.2099,23890,0.9254,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,True,True,True,2019,Action|Adventure|Indie|Racing|Simulation,Building|Co-op|Destruction|Driving|Exploration|Flight|Jet|Moddable|Multiplayer|Open World|Physics|Puzzle|Racing|Robots|Sandbox,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
365360,Battle Brothers,Overhype Studios,Overhype Studios,0.8437,Anchor,0.9605,0.8222,0.3457,22855,0.8834,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,80,False,True,True,False,False,2017,Indie|RPG|Strategy,Action|Adventure|Character Customization|Historical|Medieval|Moddable|Open World|RPG|Replay Value|Sandbox|Simulation|Singleplayer|Strategy|Tactical|Tactical RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1239690,Retrowave,RewindApp,RewindApp,0.8425,Anchor,0.8716,0.9333,0.3333,15033,0.9564,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,2.99,,True,True,True,False,True,2022,Action|Casual|Indie|Racing|Simulation,1980s|1990's|Action|Addictive|Arcade|Atmospheric|Casual|Cyberpunk|Futuristic|Great Soundtrack|Indie|Music|Psychedelic|Racing|Relaxing,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
332800,Five Nights at Freddy's 2,Scott Cawthon,Scott Cawthon,0.8358,Anchor,0.9531,0.7926,0.4222,21879,0.9383,Very Positive,"500,000 .. 1,000,000",750000.0,7.99,62,False,True,True,False,False,2014,Indie,Atmospheric|Dark|Difficult|Fast-Paced|First-Person|Historical|Horror|Indie|Jump Scare|Mystery|Perma Death|Point & Click|Psychological Horror|Resource Management|Robots,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1188930,Chrono Ark,Al Fine,Al Fine,0.8351,Anchor,0.7358,0.9852,0.7309,10462,0.9081,Very Positive,"100,000 .. 200,000",150000.0,24.99,,True,True,True,False,False,2024,Adventure|Indie|RPG|Strategy,Adventure|Anime|Card Battler|Card Game|Cute|Deckbuilding|Difficult|Early Access|Female Protagonist|Indie|Party-Based RPG|RPG|Roguelike|Roguelike Deckbuilder|Roguelite,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
337340,Finding Paradise,Freebird Games,Freebird Games,0.8336,Anchor,0.916,0.7012,0.9506,17896,0.9785,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,81,False,True,True,False,False,2017,Adventure|Indie|RPG,2D|Adventure|Atmospheric|Comedy|Cute|Drama|Emotional|Female Protagonist|Funny|Interactive Fiction|JRPG|Linear|Pixel Graphics|Psychological|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
