"3350,Bejeweled Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,50000,100000,5,1,1";;;
"3352,Bejeweled Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3360,Big Money! Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,8,1,1";;;
"3362,Big Money! Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,2,1,1";;;
"3380,Dynomite Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,42,1,1";;;
"3382,Dynomite Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3390,Feeding Frenzy 2 Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,100000,200000,22,1,1";;;
"3392,Feeding Frenzy 2 Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,4,1,1";;;
"3400,Hammer Heads Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,20000,50000,1,1,1";;;
"3410,Heavy Weapon Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,1,1,1";;;
"3412,Heavy Weapon Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,2,1,1";;;
"3420,Iggle Pop Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,20000,50000,0,1,1";;;
"3422,Iggle Pop Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3430,Pizza Frenzy Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,1,1,1";;;
"3432,Pizza Frenzy Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3450,Typer Shark! Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,17,1,1";;;
"3452,Typer Shark! Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,3,1,1";;;
