app_id,review_score,total,total_bucket,total_bucket_range
1626040,5,35,2,10 - 50
1626060,0,4,1,0 - 10
1626080,0,0,1,0 - 10
1626100,0,0,1,0 - 10
1626110,5,16,2,10 - 50
1626120,0,0,1,0 - 10
1626130,0,8,1,0 - 10
1626140,0,8,1,0 - 10
1626150,0,0,1,0 - 10
1626160,0,0,1,0 - 10
1626180,0,1,1,0 - 10
1626190,0,0,1,0 - 10
1626210,0,0,1,0 - 10
1626240,0,0,1,0 - 10
1626280,0,0,1,0 - 10
1626330,0,0,1,0 - 10
1626350,8,120,4,100 - 500
1626360,0,0,1,0 - 10
1626370,7,25,2,10 - 50
1626410,0,5,1,0 - 10
1626420,0,0,1,0 - 10
1626440,0,0,1,0 - 10
1626450,0,0,1,0 - 10
1626460,8,365,4,100 - 500
1626480,0,2,1,0 - 10
1626490,0,2,1,0 - 10
1626510,0,0,1,0 - 10
1626520,0,0,1,0 - 10
1626530,8,80,3,50 - 100
1626560,5,13,2,10 - 50
1626570,0,2,1,0 - 10
1626600,5,51,3,50 - 100
1626610,4,13,2,10 - 50
1626620,0,0,1,0 - 10
1626630,0,0,1,0 - 10
1626640,5,968,5,"500 - 1,000"
1626680,0,3,1,0 - 10
1626710,0,1,1,0 - 10
1626740,5,52,3,50 - 100
1626820,0,0,1,0 - 10
1626840,0,0,1,0 - 10
1626850,0,0,1,0 - 10
1626870,0,0,1,0 - 10
1626890,9,1573,6,"1,000 - 5,000"
1626900,6,213,4,100 - 500
1626930,0,5,1,0 - 10
1626940,0,0,1,0 - 10
1626950,0,6,1,0 - 10
1626980,0,0,1,0 - 10
1627030,0,1,1,0 - 10
1627040,8,67,3,50 - 100
1627060,0,0,1,0 - 10
1627070,0,0,1,0 - 10
1627120,5,21,2,10 - 50
1627130,0,1,1,0 - 10
1627140,0,4,1,0 - 10
1627160,0,0,1,0 - 10
1627180,0,1,1,0 - 10
1627210,0,0,1,0 - 10
1627240,5,32,2,10 - 50
1627250,0,0,1,0 - 10
1627270,0,0,1,0 - 10
1627280,0,3,1,0 - 10
1627290,0,1,1,0 - 10
1627310,8,112,4,100 - 500
1627320,0,0,1,0 - 10
1627330,7,35,2,10 - 50
1627350,0,0,1,0 - 10
1627360,7,19,2,10 - 50
1627370,0,1,1,0 - 10
1627380,0,2,1,0 - 10
1627410,7,16,2,10 - 50
1627420,7,14,2,10 - 50
1627450,0,0,1,0 - 10
1627470,0,0,1,0 - 10
1627480,0,5,1,0 - 10
1627510,5,14,2,10 - 50
1627520,6,66,3,50 - 100
1627550,0,1,1,0 - 10
1627560,0,4,1,0 - 10
1627570,8,1596,6,"1,000 - 5,000"
1627590,0,0,1,0 - 10
1627610,8,53,3,50 - 100
1627660,7,10,2,10 - 50
1627670,0,0,1,0 - 10
1627680,8,492,4,100 - 500
1627710,7,10,2,10 - 50
1627720,8,41414,8,"10,000 - 50,000"
1627730,0,0,1,0 - 10
1627740,0,2,1,0 - 10
1627750,0,5,1,0 - 10
1627760,0,0,1,0 - 10
1627770,0,0,1,0 - 10
1627820,8,92,3,50 - 100
1627840,8,184,4,100 - 500
1627850,5,721,5,"500 - 1,000"
1627860,0,0,1,0 - 10
1627870,8,193,4,100 - 500
1627890,8,171,4,100 - 500
1627920,0,4,1,0 - 10
1628000,5,14,2,10 - 50
1628010,0,7,1,0 - 10
1628060,0,4,1,0 - 10
1628120,0,0,1,0 - 10
1628130,5,919,5,"500 - 1,000"
1628140,0,0,1,0 - 10
1628150,0,0,1,0 - 10
1628160,0,0,1,0 - 10
1628170,0,0,1,0 - 10
1628210,0,0,1,0 - 10
1628240,0,0,1,0 - 10
1628260,7,18,2,10 - 50
1628270,8,72,3,50 - 100
1628300,0,9,1,0 - 10
1628330,0,0,1,0 - 10
1628370,0,1,1,0 - 10
1628390,0,0,1,0 - 10
1628400,0,2,1,0 - 10
1628430,0,0,1,0 - 10
1628440,8,55,3,50 - 100
1628470,0,5,1,0 - 10
1628480,4,27,2,10 - 50
1628490,0,0,1,0 - 10
1628510,6,18,2,10 - 50
1628530,0,0,1,0 - 10
1628550,7,17,2,10 - 50
1628610,9,894,5,"500 - 1,000"
1628620,5,3556,6,"1,000 - 5,000"
1628630,0,0,1,0 - 10
1628640,0,0,1,0 - 10
1628650,5,19,2,10 - 50
1628670,0,4,1,0 - 10
1628730,0,0,1,0 - 10
1628750,6,127,4,100 - 500
1628760,8,913,5,"500 - 1,000"
1628770,0,0,1,0 - 10
1628790,0,3,1,0 - 10
1628820,0,0,1,0 - 10
1628850,7,19,2,10 - 50
1628890,7,30,2,10 - 50
1628920,0,0,1,0 - 10
1628930,0,2,1,0 - 10
1628940,5,26,2,10 - 50
1629040,0,5,1,0 - 10
1629060,7,20,2,10 - 50
1629100,8,137,4,100 - 500
1629130,0,6,1,0 - 10
1629150,0,5,1,0 - 10
1629160,0,2,1,0 - 10
1629190,7,13,2,10 - 50
1629200,5,602,5,"500 - 1,000"
1629210,7,18,2,10 - 50
1629220,0,4,1,0 - 10
1629230,0,0,1,0 - 10
1629250,0,4,1,0 - 10
1629300,7,17,2,10 - 50
1629320,7,47,2,10 - 50
1629350,8,71,3,50 - 100
