fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference,gamepass_status,gamepass_note,is_top5_pick
6751,2142790,Fields of Mistria,2024-08-05,"Early Access, Indie, RPG, Simulation","Sandbox, Open World, Building, Crafting, Simulation, Farming Sim, Agriculture, Dating Sim",1399,13.99,$10-14.99,9,10306,"200,000 - 500,000",350000,0.0045,50.91,60.56,high,0,0,unverified,,0
6762,437920,Tricky Towers,2016-08-02,"Casual, Indie","Online Co-Op, Multiplayer, Building, Local Co-Op, Funny, Local Multiplayer, 4 Player Local, Party Game",1499,14.99,$10-14.99,8,15036,"1,000,000 - 2,000,000",1500000,0.2071,50.88,61.61,high,0,0,unverified,,0
6793,2194530,Yog-Sothoth’s Yard,2023-10-19,"Indie, RPG, Simulation","Building, Base Building, City Builder, Simulation, Horror, Roguelite, Strategy, Story Rich",1099,10.99,$10-14.99,8,9067,"200,000 - 500,000",350000,-0.3247,50.82,58.78,high,0,0,unverified,,0
6823,474750,Reigns,2016-08-11,"Adventure, Indie, RPG, Simulation","Great Soundtrack, Difficult, Funny, Simulation, Comedy, Dark Humor, Strategy, Story Rich",149,1.49,$0.01-4.99,8,7829,"500,000 - 1,000,000",750000,-0.1912,50.79,59.47,high,0,0,unverified,,0
6857,410110,12 is Better Than 6,2015-11-20,"Action, Indie","Great Soundtrack, Difficult, Gore, Funny, Blood, Atmospheric, Violent, Dark Humor",999,9.99,$5-9.99,8,6944,"500,000 - 1,000,000",750000,-0.2335,50.73,59.21,high,0,0,unverified,,0
6896,234650,Shadowrun Returns,2013-07-25,"Adventure, Indie, RPG, Strategy","Moddable, Tactical, Atmospheric, Turn-Based, Strategy, Story Rich, Isometric, Singleplayer",1499,14.99,$10-14.99,8,13193,"2,000,000 - 5,000,000",3500000,0.3668,50.67,62.34,high,0,0,unverified,,0
6905,1043810,Tactical Breach Wizards,2024-08-22,"Adventure, Indie, RPG, Strategy","Funny, Tactical, Comedy, Turn-Based, Military, Strategy, Story Rich, Isometric",1999,19.99,$15-19.99,9,6022,"200,000 - 500,000",350000,-0.1848,50.65,59.43,high,0,0,unverified,,0
7029,275390,Guacamelee! Super Turbo Championship Edition,2014-08-21,"Action, Adventure, Indie","Co-op, Difficult, Local Co-Op, Funny, 4 Player Local, Action, Singleplayer, Adventure",1499,14.99,$10-14.99,8,6605,"5,000,000 - 10,000,000",7500000,0.3082,50.46,61.93,high,0,0,unverified,,0
7068,629820,Maneater,2021-05-25,"Action, Adventure, Indie, RPG","Open World, Gore, Simulation, Hack and Slash, Atmospheric, Violent, Dark Humor, Underwater",999,9.99,$5-9.99,8,15776,"500,000 - 1,000,000",750000,0.0556,50.39,60.56,high,0,0,unverified,,0
7076,1272160,The Life and Suffering of Sir Brante,2021-03-04,"Adventure, Indie, RPG, Simulation, Strategy","Replay Value, Management, Simulation, Atmospheric, Violent, Strategy, Story Rich, Singleplayer",1999,19.99,$15-19.99,8,7632,"200,000 - 500,000",350000,-0.3854,50.38,58.24,high,0,0,unverified,,0
7175,1461810,《蜀山：初章》买断版,2022-11-17,Massively Multiplayer,"Sandbox, Open World, Massively Multiplayer, Roguelike, Character Customization, Procedural Generation, RPG, Adventure",2499,24.99,$20-29.99,6,5993,"200,000 - 500,000",350000,-1.0386,50.27,54.75,high,0,0,unverified,,0
7256,1811990,Wildfrost,2023-04-12,"Indie, Strategy","Difficult, Base Building, Replay Value, Roguelite, Turn-Based, Strategy, Roguelike, Procedural Generation",1999,19.99,$15-19.99,8,7524,"200,000 - 500,000",350000,-0.3904,50.14,58.09,high,0,0,unverified,,0
7257,1321440,Cassette Beasts,2023-04-26,"Indie, RPG","Co-op, Sandbox, Open World, Local Co-Op, Comedy, Singleplayer, RPG, Adventure",1999,19.99,$15-19.99,9,7575,"0 - 20,000",10000,-0.9676,50.14,55.06,high,0,0,unverified,,0
