app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
1478830,4,Mostly Negative,4,7,11,,4,7
1478850,6,Mostly Positive,113,33,146,129,114,33
1478860,8,Very Positive,456,14,470,,0,0
1478880,7,Positive,12,1,13,,12,1
1478890,0,No user reviews,0,0,0,,0,0
1478910,0,No user reviews,0,0,0,,0,0
1478930,8,Very Positive,414,33,447,,0,0
1478960,0,No user reviews,0,0,0,,0,0
1478970,8,Very Positive,56,7,63,,56,7
1478980,0,5 user reviews,3,2,5,,3,2
1479000,0,4 user reviews,4,0,4,,4,0
1479010,0,9 user reviews,6,3,9,,6,3
1479020,6,Mostly Positive,11,3,14,,11,3
1479030,8,Very Positive,105,18,123,,105,18
1479080,0,No user reviews,0,0,0,,0,0
1479090,0,2 user reviews,1,1,2,,1,1
1479100,0,5 user reviews,1,4,5,,1,4
1479120,0,No user reviews,0,0,0,,0,0
1479140,6,Mostly Positive,723,207,930,677,660,191
1479210,0,6 user reviews,5,1,6,,5,1
1479280,7,Positive,22,1,23,,0,0
1479300,5,Mixed,17,8,25,,0,0
1479310,7,Positive,33,1,34,,33,1
1479320,0,9 user reviews,6,3,9,,0,0
1479330,0,No user reviews,0,0,0,,0,0
1479340,5,Mixed,34,18,52,,34,18
1479360,0,1 user reviews,1,0,1,,1,0
1479370,7,Positive,12,0,12,,12,0
1479390,8,Very Positive,140,7,147,,140,7
1479400,7,Positive,19,1,20,,19,1
1479460,6,Mostly Positive,25,7,32,,25,5
1479470,5,Mixed,11,5,16,,11,5
1479480,5,Mixed,65,30,95,,65,30
1479490,0,No user reviews,0,0,0,,0,0
1479500,8,Very Positive,416,21,437,306,416,21
1479530,7,Positive,11,1,12,,11,1
1479540,7,Positive,16,1,17,,16,1
1479610,7,Positive,13,3,16,,13,3
1479690,0,No user reviews,0,0,0,,0,0
1479730,0,No user reviews,0,0,0,,0,0
1479750,0,6 user reviews,5,1,6,,5,1
1479760,0,2 user reviews,2,0,2,,2,0
1479780,0,No user reviews,0,0,0,,0,0
1479810,5,Mixed,219,99,318,289,219,99
1479830,0,9 user reviews,8,1,9,,8,1
1479840,7,Positive,13,0,13,,13,0
1479850,7,Positive,9,1,10,,9,1
1479870,0,9 user reviews,4,5,9,,4,5
1479880,6,Mostly Positive,63,19,82,,63,19
1479890,8,Very Positive,53,3,56,,53,3
1479910,0,1 user reviews,1,0,1,,1,0
1479930,0,No user reviews,0,0,0,,0,0
1479940,7,Positive,24,6,30,,24,6
1479960,8,Very Positive,66,5,71,,65,5
1479970,0,No user reviews,0,0,0,,0,0
