app_id,language
11240,English
11250,English
11260,English
11270,English
11270,Czech
11270,Slovak
11270,German
11270,Polish
11280,English
11340,English
11370,English
11370,French
11370,German
11370,Italian
11370,Spanish - Spain
11390,English
11390,French
11390,German
11450,English
11450,French
11450,German
11450,Spanish - Spain
11470,English
11480,English
11480,French
11480,German
11480,Italian
11480,Spanish - Spain
11480,Russian
11550,English
11550,French
11550,Italian
11550,German
11550,Spanish - Spain
11560,English
11560,French
11560,German
11560,Italian
11560,Spanish - Spain
11590,English
11590,French
11590,German
11590,Italian
11590,Spanish - Spain
11590,Dutch
11910,English
11910,French
11910,German
11910,Italian
11910,Spanish - Spain
11920,English
11920,French
11920,German
11920,Italian
11920,Spanish - Spain
12130,English
12130,French
12130,German
12130,Italian
12130,Spanish - Spain
12140,English
12150,English
12180,English
12200,English
12200,Italian
12200,German
12200,Spanish - Spain
12200,French
12210,English
12210,French
12210,Italian
12210,German
12210,Spanish - Spain
12220,English
12220,French
12220,German
12220,Italian
12220,Spanish - Spain
12310,English
12320,English
12330,English
12340,English
12360,English
12360,French
12360,German
12360,Italian
12360,Spanish - Spain
12360,Czech
12360,Hungarian
12360,Polish
12360,Russian
12390,English
12420,English
12430,English
12440,English
12450,English
12460,English
12470,English
12480,English
12480,French
12480,Hungarian
12480,Polish
12480,Russian
12480,Czech
12500,English
12510,English
12520,English
12530,English
12540,English
12560,English
12570,English
12570,French
12570,German
12570,Italian
12570,Spanish - Spain
12580,English
12580,French
12580,German
12580,Italian
12580,Spanish - Spain
12590,English
12600,English
12640,English
12640,German
12640,French
12670,English
12690,English
12710,English
12710,French
12710,German
12710,Italian
12710,Spanish - Spain
12770,English
12770,French
12770,German
12770,Italian
12770,Spanish - Spain
12790,English
12790,French
12790,German
12790,Italian
12790,Spanish - Spain
12810,English
12810,French
12810,German
12810,Italian
12810,Spanish - Spain
12820,English
12820,French
12820,German
12820,Italian
12820,Polish
12820,Spanish - Spain
12830,English
12830,French
12830,German
12830,Italian
12830,Spanish - Spain
12890,English
12900,English
12900,Russian
12910,English
13000,English
13000,French
13000,German
13000,Italian
13000,Spanish - Spain
13000,Japanese
13010,English
13010,French
13010,German
13010,Italian
13010,Spanish
13010,Japanese
13140,English
13500,English
13520,English
13530,English
13530,French
13530,German
13530,Italian
13530,Spanish - Spain
13540,English
13540,French
13560,English
13560,French
13570,English
13570,French
13570,German
13570,Spanish - Spain
13570,Italian
13580,English
13580,French
13580,German
13580,Italian
13580,Spanish - Spain
13600,English
13600,French
13600,German
13600,Italian
13600,Spanish - Spain
13620,English
13630,English
15000,English
15080,English
15080,French
15080,Spanish - Spain
15100,English
15100,French
15100,Italian
15100,German
15100,Spanish - Spain
15120,English
15120,French
15120,Italian
15120,German
15120,Spanish - Spain
15130,English
15130,French
15130,German
15130,Italian
15130,Spanish - Spain
15130,Japanese
15130,Korean
15130,Portuguese - Brazil
15130,Russian
15130,Simplified Chinese
15130,Traditional Chinese
15160,English
15160,French
15160,Spanish - Spain
15170,English
15170,French
15170,Italian
15170,German
15170,Spanish - Spain
15190,English
15190,French
15190,Italian
15190,Dutch
15190,Spanish - Spain
15200,English
15200,French
15200,Spanish - Spain
15210,English
15210,German
15240,English
15270,English
15270,French
15270,Italian
15270,German
15270,Spanish - Spain
15300,English
15320,English
15320,Russian
15370,English
15370,French
15370,Italian
15370,German
15370,Spanish - Spain
15380,English
15380,French
15380,Italian
15380,German
15380,Spanish - Spain
15390,English
15390,French
15390,Italian
15390,Spanish - Spain
15400,English
15500,English
15510,English
15520,English
15560,English
15620,English
15620,French
15620,German
15620,Italian
15620,Spanish - Spain
15680,English
15680,French
15680,German
15680,Italian
15680,Spanish - Spain
15680,Russian
15680,Czech
15680,Polish
15680,Hungarian
15700,English
15700,French
15700,German
15700,Italian
15700,Japanese
15700,Spanish - Spain
15710,English
15710,French
15710,German
15710,Italian
15710,Spanish - Spain
15720,English
15730,English
15740,English
15740,French
15740,Italian
15740,German
15740,Spanish - Spain
15750,English
15800,English
15810,English
15900,English
15902,English
15910,English
15910,French
15910,German
15910,Swedish
15912,English
15920,English
15920,French
15920,German
15922,English
15930,English
15932,English
15952,English
15960,English
15962,English
15970,English
15970,French
15970,German
15970,Swedish
15972,English
16000,English
16002,English
16020,English
16022,English
16030,English
16032,English
16040,English
16042,English
16060,English
16062,English
16100,English
16110,English
16120,English
16130,English
16140,English
16150,English
16160,English
16170,English
16180,English
16190,English
16200,English
16210,English
16300,English
16450,English
16450,French
16450,Italian
16450,German
16450,Spanish - Spain
16450,Czech
16450,Hungarian
16450,Polish
16450,Russian
16500,English
16500,German
16510,English
16510,German
16600,English
16600,French
16600,Italian
16600,German
16600,Spanish - Spain
16600,Russian
16600,Polish
16600,Swedish
16600,Czech
16600,Finnish
16610,English
16620,English
16630,English
16710,English
16720,English
16720,French
16730,English
16810,English
16810,French
16810,German
16810,Spanish - Spain
16810,Italian
16900,English
17020,English
17020,German
17080,English
17080,German
17080,Russian
17080,Portuguese - Portugal
17100,English
17100,French
17100,German
17100,Italian
17100,Spanish - Spain
17110,English
17110,French
17110,German
17110,Italian
17110,Spanish - Spain
17120,English
17120,French
17120,German
17120,Italian
17120,Spanish - Spain
17140,English
17140,French
17140,German
17140,Spanish - Spain
17180,English
17330,English
17330,French
17330,German
17330,Spanish - Spain
17330,Italian
17330,Czech
17330,Polish
17330,Russian
17330,Hungarian
17390,English
17390,Czech
17390,Danish
17390,German
17390,Spanish - Spain
17390,Finnish
17390,French
17390,Italian
17390,Hungarian
17390,Dutch
17390,Norwegian
17390,Polish
17390,Russian
17390,Swedish
17390,Portuguese - Portugal
17410,English
17410,French
17410,German
17410,Italian
17410,Spanish - Spain
17410,Czech
17410,Russian
17410,Polish
17410,Hungarian
17410,Portuguese - Portugal
17440,English
17440,Czech
17440,Danish
17440,German
17440,Spanish - Spain
17440,Finnish
17440,French
17440,Italian
17440,Hungarian
17440,Dutch
17440,Norwegian
17440,Polish
17440,Russian
17440,Swedish
17440,Portuguese - Portugal
17460,English
17460,French
17460,German
17460,Spanish - Spain
17460,Italian
17470,English
17470,French
17470,German
17470,Italian
17470,Spanish - Spain
17480,English
17480,French
17480,German
17480,Italian
17480,Czech
17480,Hungarian
17480,Polish
17480,Russian
17480,Spanish - Latin America
17500,English
17500,Russian
17500,French
17500,Italian
17500,German
17500,Spanish - Spain
17500,Danish
17500,Dutch
17500,Portuguese - Portugal
17500,Portuguese - Brazil
17500,Simplified Chinese
17500,Spanish - Latin America
17570,English
17570,Danish
17570,Dutch
17570,Finnish
17570,French
17570,German
17570,Norwegian
17570,Portuguese - Portugal
17570,Russian
17570,Spanish - Spain
17570,Swedish
17570,Italian
17570,Bulgarian
17570,Czech
17570,Greek
17570,Hungarian
17570,Japanese
17570,Korean
17570,Polish
17570,Portuguese - Brazil
17570,Romanian
17570,Simplified Chinese
17570,Spanish - Latin America
17570,Thai
17570,Traditional Chinese
17570,Turkish
17570,Ukrainian
17570,Vietnamese
17580,English
17580,Danish
17580,Dutch
17580,Finnish
17580,French
17580,German
17580,Italian
17580,Japanese
17580,Korean
17580,Norwegian
17580,Polish
17580,Portuguese - Portugal
17580,Russian
17580,Spanish - Spain
17580,Swedish
17580,Traditional Chinese
17580,Thai
17710,English
17710,Czech
17710,German
17710,Russian
17710,Spanish - Spain
17710,Korean
17740,English
17740,Polish
17740,Spanish - Spain
17740,Russian
17740,French
17740,German
17740,Swedish
17740,Portuguese - Brazil
18000,English
18010,English
18020,English
18030,English
18040,English
18050,English
18070,English
18110,English
18120,English
18120,German
18300,English
18400,English
18420,English
18430,English
18470,English
18470,French
18470,German
18470,Spanish - Spain
18480,English
18480,German
18480,Italian
18480,French
18500,English
18500,French
18500,Italian
18500,German
18500,Spanish - Spain
18510,English
18510,French
18510,German
18510,Italian
18510,Spanish - Spain
18600,English
18610,English
18700,English
18700,French
18700,German
18700,Italian
18700,Japanese
18700,Spanish - Spain
18710,English
18820,English
19000,English
19000,French
