app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
3010,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3020,4,Family Sharing,Multi-player,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
3050,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3130,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
3170,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
3190,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3210,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3230,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3260,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3270,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3280,3,Game demo,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3300,4,Family Sharing,Remote Play on Phone,Remote Play on Tablet,Single-player,,,,,,,,,,,,,,,,,,,
3302,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3310,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3312,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3320,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3322,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3330,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3332,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3340,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3342,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3350,4,Family Sharing,Remote Play on Phone,Remote Play on Tablet,Single-player,,,,,,,,,,,,,,,,,,,
3352,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3360,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
