app_id,tag_count,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20
2563050,20,3D,Atmospheric,Casual,Cinematic,Co-op,Controller,Conversation,Early Access,Emotional,Family Friendly,First-Person,Funny,Logic,Multiplayer,Multiple Endings,Mystery,Online Co-Op,Point & Click,Puzzle,Realistic
2563090,20,Action,Action Roguelike,Bullet Time,Class-Based,Co-op,Dark Humor,First-Person,FPS,Gore,Hero Shooter,Horror,Looter Shooter,Multiplayer,Nonlinear,PvE,Realistic,Roguelite,Sci-fi,Shooter,Zombies
2563120,20,2D,Action,Action-Adventure,Adventure,Aliens,Casual,Colorful,Combat,Cute,Exploration,Futuristic,Gothic,Pixel Graphics,Sci-fi,Singleplayer,Survival,Tanks,Time Manipulation,Time Travel,Top-Down
2563130,20,3D,Action-Adventure,Adventure,Atmospheric,Co-op,Colorful,Dark,Early Access,Exploration,First-Person,Horror,Multiplayer,Online Co-Op,Psychological Horror,Puzzle,Singleplayer,Stealth,Surreal,Survival Horror,Thriller
2563140,19,3D,Action,Action Roguelike,Bullet Hell,Casual,Collectathon,Farming Sim,Female Protagonist,Indie,Nature,PvE,Retro,RPG,Sci-fi,Singleplayer,Space,Story Rich,Stylized,Top-Down,
2563160,16,1990's,3D,Action,Action Roguelike,Action RTS,Dark,First-Person,FPS,Horror,Procedural Generation,Roguelite,Sci-fi,Shooter,Singleplayer,Surreal,Violent,,,,
2563180,17,1980s,3D,Action,Casual,Cinematic,Dark,First-Person,FPS,Horror,Indie,Psychological Horror,Puzzle,Sci-fi,Score Attack,Singleplayer,Surreal,Tutorial,,,
2563230,12,Action,Action-Adventure,Co-op,Early Access,First-Person,FPS,Free to Play,Horror,Multiplayer,Online Co-Op,Singleplayer,Violent,,,,,,,,
2563250,20,2D,Action RPG,Alternate History,Casual,Conversation,Dungeon Crawler,Early Access,Hand-drawn,Martial Arts,Match 3,Multiple Endings,Mythology,Relaxing,Retro,RPG,Singleplayer,Strategy RPG,Turn-Based Combat,Turn-Based Strategy,Turn-Based Tactics
2563300,12,3D,Casual,Colorful,Controller,Exploration,Mystery,Nonlinear,Relaxing,Singleplayer,Stylized,Third Person,Walking Simulator,,,,,,,,
2563310,12,2D,Action,Action-Adventure,Adventure,Atmospheric,Combat,Controller,Female Protagonist,Indie,Metroidvania,Open World,Singleplayer,,,,,,,,
2563340,20,2D,Adventure,Anime,Atmospheric,Cartoon,Cute,Drama,Emotional,Exploration,Fantasy,Female Protagonist,JRPG,Lore-Rich,Magic,Mystery,Pixel Graphics,Romance,RPG,RPGMaker,Singleplayer
2563350,20,2D,Adventure,Cartoony,Casual,Cats,Clicker,Collectathon,Cozy,Creature Collector,Cute,Family Friendly,Funny,Hand-drawn,Hidden Object,Minimalist,Point & Click,Puzzle,Relaxing,Singleplayer,Wholesome
2563360,11,Adventure,Base Building,Building,Early Access,Exploration,Multiplayer,Shooter,Simulation,Singleplayer,Story Rich,Stylized,,,,,,,,,
2563400,18,3D,3D Vision,Abstract,Casual,Colorful,Immersive,Indie,Moddable,Music,Music-Based Procedural Generation,Procedural Generation,Psychedelic,Rhythm,Sandbox,Singleplayer,Software,Video Production,VR,,
2563410,20,3D,3D Platformer,Abstract,Adventure,Atmospheric,Bullet Time,Colorful,Exploration,Fantasy,Funny,Memes,Parkour,Perma Death,Platformer,Psychedelic,Realistic,Runner,Singleplayer,Surreal,Third Person
2563430,12,Adventure,Casual,Detective,Exploration,First-Person,Hidden Object,Investigation,Linear,Mystery,Point & Click,Puzzle,Singleplayer,,,,,,,,
2563440,20,2D,Anime,Atmospheric,Casual,Colorful,CRPG,Dark,Dark Humor,Dating Sim,Emotional,Hand-drawn,Interactive Fiction,Mystery,Otome,Romance,RPG,Simulation,Surreal,Thriller,Visual Novel
2563460,12,2D,2D Platformer,Action,Casual,Family Friendly,Fantasy,Indie,Pixel Graphics,Platformer,Puzzle,Puzzle Platformer,Singleplayer,,,,,,,,
2563470,14,2D,Action,Arcade,Cartoon,Casual,Female Protagonist,Indie,Pixel Graphics,Shoot 'Em Up,Shooter,Singleplayer,Third Person,Third-Person Shooter,Zombies,,,,,,
2563490,20,3D,Action,Aliens,Arcade,Casual,Co-op,Co-op Campaign,Colorful,Combat,Local Co-Op,Local Multiplayer,Multiplayer,Sci-fi,Shoot 'Em Up,Shooter,Singleplayer,Third Person,Third-Person Shooter,Twin Stick Shooter,Voxel
2563540,11,2D,Adventure,Casual,Idler,Indie,Magic,Retro,Singleplayer,Strategy,Text-Based,Word Game,,,,,,,,,
2563550,20,Casual,Character Customization,Clicker,Comedy,Early Access,Funny,Idler,Indie,Loot,Mythology,Procedural Generation,Relaxing,Roguelike,Roguelite,RPG,Strategy,Text-Based,Turn-Based Strategy,Turn-Based Tactics,Word Game
2563570,10,3D,Adventure,Arcade,Casual,Indie,Parkour,Realistic,Runner,Singleplayer,Third Person,,,,,,,,,,
