"app_id","genre"
"22140","Adventure"
"22140","Indie"
"22150","Strategy"
"22160","Strategy"
"22170","Strategy"
"22180","Action"
"22180","Adventure"
"22180","Indie"
"22200","Action"
"22200","Indie"
"22220","Action"
"22220","Indie"
"22230","Action"
"22230","Indie"
"22230","Racing"
"22230","Strategy"
"22300","RPG"
"22310","Action"
"22320","RPG"
"22350","Action"
"22350","Free To Play"
"22370","RPG"
"22380","Action"
"22380","RPG"
"22450","Action"
"22450","Adventure"
"22500","Indie"
"22500","Strategy"
"22600","Strategy"
"22610","Action"
"22620","Action"
"22650","Action"
"22660","Action"
"22670","Action"
"22690","Strategy"
"23150","Casual"
"23150","Indie"
"23300","Casual"
"23310","RPG"
"23320","Casual"
"23380","RPG"
"23400","Simulation"
"23400","Strategy"
"23410","Simulation"
"23410","Strategy"
"23420","Strategy"
"23450","Simulation"
"23450","Strategy"
"23455","Simulation"
"23455","Strategy"
"23460","Action"
"23460","Adventure"
"23460","Strategy"
"23470","Strategy"
"23490","Simulation"
"23490","Strategy"
"23500","Casual"
"23500","RPG"
"23520","Casual"
"23520","Simulation"
"23530","Action"
"23600","Indie"
"23600","RPG"
"23600","Strategy"
"23610","RPG"
"23610","Strategy"
"23700","Casual"
"24010","Simulation"
"24200","Action"
"24200","Adventure"
"24200","Free To Play"
"24200","Massively Multiplayer"
"24200","RPG"
"24240","Action"
"24400","RPG"
"24400","Strategy"
"24410","Strategy"
"24420","Indie"
"24430","RPG"
"24430","Strategy"
"24460","RPG"
"24460","Strategy"
"24480","RPG"
"24480","Strategy"
"24640","Simulation"
"24650","Simulation"
"24660","Simulation"
"24670","Simulation"
"24710","Strategy"
"24720","Action"
"24720","Simulation"
"24780","Simulation"
"24780","Strategy"
"24790","Strategy"
"24800","Strategy"
"24810","Strategy"
"24870","Racing"
"24880","Action"
"24880","Adventure"
"25000","Action"
"25000","Indie"
"25010","Action"
"25500","Indie"
"25500","Simulation"
"25500","Sports"
"25510","Indie"
"25510","Simulation"
"25510","Sports"
"25600","Indie"
"25600","RPG"
"25610","RPG"
"25620","Indie"
"25620","RPG"
"25700","Action"
"25700","Casual"
"25700","Indie"
"25710","Action"
"25710","Casual"
"25710","Indie"
"25800","Strategy"
"25808","Strategy"
"25830","Strategy"
"25850","RPG"
"25850","Strategy"
"25890","Strategy"
"25900","RPG"
"25900","Strategy"
"25910","Strategy"
"25930","Strategy"
"25980","Simulation"
"25980","Strategy"
"25990","Simulation"
"25990","Strategy"
"26000","Action"
"26000","Indie"
"26010","Indie"
"26300","Action"
"26300","Indie"
"26500","Casual"
"26500","Indie"
"26510","Casual"
"26510","Indie"
"26510","Strategy"
"26810","Indie"
"26810","Strategy"
"26900","Casual"
"26900","Indie"
"26910","Casual"
"26910","Indie"
"27000","Adventure"
"27000","Indie"
"27020","Indie"
"27020","Simulation"
"27030","Indie"
"27030","Simulation"
"27040","Adventure"
"27040","Indie"
"27050","Adventure"
"27050","Casual"
"27050","Indie"
"27200","Sports"
"27400","Casual"
"27400","Indie"
"27400","RPG"
"27610","Casual"
"27610","Indie"
"27800","Indie"
"27810","Indie"
"27900","Action"
"27900","Adventure"
"27910","Action"
"27910","Adventure"
"27920","Action"
"27920","Indie"
"27940","Action"
"27940","Indie"
"28000","Action"
"28020","Action"
"29120","Casual"
"29120","Indie"
"29130","Casual"
"29130","Indie"
"29140","Indie"
"29150","Indie"
"29160","Adventure"
"29160","Indie"
"29180","Casual"
"29180","Indie"
"29200","Casual"
"29200","Indie"
"29600","Massively Multiplayer"
"29600","RPG"
"29610","Massively Multiplayer"
"29610","RPG"
"29620","Massively Multiplayer"
"29620","RPG"
"29630","Massively Multiplayer"
"29630","RPG"
"29700","Action"
"29700","Massively Multiplayer"
"29700","RPG"
"29800","Action"
"29800","Adventure"
"29800","Casual"
"29800","Indie"
"29800","RPG"
"29800","Strategy"
"29900","Action"
"31100","Adventure"
"31170","Adventure"
"31170","RPG"
"31180","Adventure"
"31180","RPG"
"31190","Adventure"
"31190","RPG"
"31200","Adventure"
"31200","RPG"
"31210","Adventure"
"31210","RPG"
"31220","Action"
"31220","Adventure"
"31230","Adventure"
"31240","Adventure"
"31250","Adventure"
"31260","Adventure"
"31270","Action"
"31270","Adventure"
"31270","Casual"
"31280","Casual"
"31280","Sports"
"31290","Adventure"
"31300","Action"
"31500","Casual"
"31500","Indie"
"31700","Action"
"31700","Indie"
"31710","Action"
"31710","Indie"
"31800","Adventure"
"31810","Adventure"
"31820","Adventure"
"31830","Adventure"
"31840","Adventure"
"31850","Adventure"
"31860","Adventure"
"31870","Adventure"
"31870","Casual"
"31880","Adventure"
"31890","Action"
"31900","Adventure"
"31910","Adventure"
"31920","Adventure"
"31930","Adventure"
"31940","Adventure"
"31950","Adventure"
"31960","Adventure"
"31970","Adventure"
"31990","Adventure"
"32000","Casual"
"32000","Indie"
"32010","Indie"
"32110","Casual"
"32117","Casual"
"32120","Casual"
"32127","Casual"
"32140","Adventure"
"32140","Casual"
"32150","Casual"
"32150","Indie"
"32150","Strategy"
"32160","Casual"
"32160","Sports"
"32162","Sports"
"32200","Action"
"32200","Indie"
"32200","Racing"
"32200","Sports"
"32210","Action"
"32210","Indie"
"32210","Racing"
"32210","Sports"
"32310","Adventure"
"32330","Action"
"32330","Adventure"
"32340","Adventure"
"32350","Action"
"32350","Simulation"
"32360","Adventure"
"32370","Adventure"
"32370","RPG"
"32380","Action"
"32390","Action"
"32400","Action"
"32410","Casual"
"32420","Action"
"32430","Action"
"32440","Adventure"
"32450","Adventure"
"32470","Strategy"
"32500","Action"
"32510","Action"
"32510","Adventure"
"32610","Action"
"32620","Action"
"32630","Action"
"32640","Action"
"32650","Action"
"32660","Action"
"32680","Action"
"32710","Simulation"
"32720","Simulation"
"32730","Simulation"
"32740","Simulation"
"32750","Action"
"32750","Simulation"
"32760","Simulation"
"32770","Action"
"32900","Casual"
"32900","Indie"
"32900","Simulation"
"32900","Strategy"
"33100","Action"
"33100","Indie"
"33100","RPG"
"33110","Action"
"33110","Indie"
"33110","RPG"
"33120","Action"
"33120","Indie"
"33120","RPG"
"33130","Action"
"33130","Indie"
"33130","RPG"
"33140","Action"
"33150","Action"
"33160","Action"
"33170","Action"
"33180","Action"
"33180","Indie"
"33180","RPG"
"33190","Action"
"33190","RPG"
"33220","Action"
"33230","Action"
"33230","Adventure"
"33290","Action"
"33320","Action"
"33320","Adventure"
"33390","Action"
"33390","Indie"
"33400","Action"
"33460","Adventure"
"33460","Simulation"
"33520","Simulation"
"33520","Strategy"
"33540","Action"
"33540","RPG"
"33560","Simulation"
"33560","Strategy"
"33570","RPG"
"33570","Simulation"
"33570","Strategy"
"33580","Simulation"
"33580","Strategy"
"33600","Adventure"
"33600","Casual"
"33610","Adventure"
"33620","Action"
"33620","Racing"
"33650","Casual"
"33660","Casual"
"33660","Indie"
