"app_id","category"
"8100","Family Sharing"
"8100","Single-player"
"8140","Family Sharing"
"8140","Full controller support"
"8140","Single-player"
"8150","Game demo"
"8150","Single-player"
"8170","Multi-player"
"8170","Partial Controller Support"
"8170","Single-player"
"8180","Game demo"
"8180","Partial Controller Support"
"8180","Single-player"
"8190","Family Sharing"
"8190","Full controller support"
"8190","Remote Play on TV"
"8190","Single-player"
"8190","Steam Achievements"
"8190","Steam Cloud"
"8310","Family Sharing"
"8310","Single-player"
"8320","Family Sharing"
"8320","Single-player"
"8330","Family Sharing"
"8330","Single-player"
"8400","Family Sharing"
"8400","Full controller support"
"8400","Remote Play on TV"
"8400","Single-player"
"8500","Co-op"
"8500","MMO"
"8500","Multi-player"
"8500","Online Co-op"
"8500","Online PvP"
"8500","PvP"
"8500","Steam Trading Cards"
"8600","Family Sharing"
"8600","Multi-player"
"8600","Single-player"
"8700","Game demo"
"8700","Multi-player"
"8700","Single-player"
"8720","Game demo"
"8720","Multi-player"
"8720","Single-player"
"8760","Game demo"
"8780","Multi-player"
"8780","Single-player"
"8790","Family Sharing"
"8790","Multi-player"
"8790","Single-player"
"8800","Family Sharing"
"8800","Single-player"
"8820","Game demo"
"8820","Single-player"
"8850","Family Sharing"
"8850","Full controller support"
"8850","Multi-player"
"8850","Remote Play on TV"
"8850","Single-player"
"8850","Steam Achievements"
"8870","Cartes à échanger Steam"
"8870","Compat. contrôleurs complète"
"8870","Partage familial"
"8870","Remote Play sur tablette"
"8870","Remote Play sur télévision"
"8870","Solo"
"8870","Steam Cloud"
"8870","Succès Steam"
"8880","Family Sharing"
"8880","Multi-player"
"8880","Single-player"
"8890","Family Sharing"
"8890","Multi-player"
"8890","Single-player"
"8900","Game demo"
"8900","Multi-player"
"8900","Single-player"
"8910","Game demo"
"8910","Multi-player"
"8910","Single-player"
"8930","Family Sharing"
